OBJECTID,SITEID,NAME,WEB_PAGE,BOAT FACILITY,CAMPING,HUNTING,PDFMAP,HUNT_ACCESS,ACRES,LATITUDE,LONGITUDE,MGMT_ID,x,y
38771,282549,Medicine River,https://myfwp.mt.gov/fishMT/fas/39753680,Hand Launch,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753680.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,11,47.53258,-111.71626,39753680,-12436199.155,6029443.9729
38772,279828,Swan River,https://myfwp.mt.gov/fishMT/fas/39753977,Hand Launch,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753977.pdf,,58,48.04185,-113.97846,39753977,-12688025.7274,6113821.4698
38773,281724,Fishtrap Creek,https://myfwp.mt.gov/fishMT/fas/39753538,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753538.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,82,45.87066,-113.22433,39753538,-12604075.8757,5759647.1103
38774,281753,High Bridge,https://myfwp.mt.gov/fishMT/fas/39753552,Hand Launch,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753552.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,10,45.01781,-112.83749,39753552,-12561013.7308,5624327.1682
38775,281742,Glen,https://myfwp.mt.gov/fishMT/fas/39753546,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753546.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,8,45.46666,-112.66906,39753546,-12542263.7008,5695290.2046
38776,281793,Tony Schoonen FAS,https://myfwp.mt.gov/fishMT/fas/39753572,Ramp (Gravel),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753572.pdf,,12,45.43651,-112.56646,39753572,-12530842.1858,5690506.1403
38777,852061,Duck Creek Bridge,https://myfwp.mt.gov/fishMT/fas/39754471,Ramp (Concrete),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754471.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,27,45.68696,-108.64225,39754471,-12094001.3617,5730326.2421
38778,282630,Lichen Cliff,https://myfwp.mt.gov/fishMT/fas/39753710,Hand Launch,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753710.pdf,,1,46.93877,-112.12172,39753710,-12481334.5328,5932087.1009
38779,279825,Beaver Lake,https://myfwp.mt.gov/fishMT/fas/39753975,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753975.pdf,,1,48.43109,-114.42123,39753975,-12737315.1281,6178876.2166
38780,282849,White Bear,https://myfwp.mt.gov/fishMT/fas/39753756,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753756.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,41,47.43414,-111.29174,39753756,-12388941.3011,6013228.4757
38781,280633,Bearmouth,https://myfwp.mt.gov/fishMT/fas/39754133,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754133.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,30,46.7001,-113.43195,39754133,-12627187.874,5893261.2381
38782,280595,River Junction,https://myfwp.mt.gov/fishMT/fas/39754125,Ramp (Gravel),Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754125.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,179,46.98574,-113.13637,39754125,-12594284.0692,5939747.1913
38783,280695,Harry Morgan,https://myfwp.mt.gov/fishMT/fas/39754161,Ramp (Gravel),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754161.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,64,46.98095,-113.09732,39754161,-12589937.118,5938966.247
38784,280791,Brown's Lake,https://myfwp.mt.gov/fishMT/fas/39754193,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754193.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,72,46.94574,-113.01085,39754193,-12580311.5967,5933223.3391
38785,280689,Cedar Meadow,https://myfwp.mt.gov/fishMT/fas/39754157,Ramp (Primitive),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754157.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,3,46.89735,-113.05945,39754157,-12585721.7555,5925336.5121
38786,280935,Corrick's River Bend,https://myfwp.mt.gov/fishMT/fas/39754247,Ramp (Gravel),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754247.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,32,46.95138,-113.5385,39754247,-12639049.5132,5934142.044
38787,11295138,Scotty Brown Bridge,https://myfwp.mt.gov/fishMT/fas/39754652,Hand Launch,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754652.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,1,47.01838,-113.24022,39754652,-12605844.6348,5945076.1931
38788,9669952,Snowden Bridge,https://myfwp.mt.gov/fishMT/fas/39754621,No Boat Facilities,Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754621.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,12,48.00575,-104.10325,39754621,-11588722.3625,6107813.273
38789,280533,Big Pine,https://myfwp.mt.gov/fishMT/fas/39754101,No Boat Facilities,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754101.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,19,46.98956,-114.6626,39754101,-12764184.2711,5940371.9812
38790,280771,Petty Creek,https://myfwp.mt.gov/fishMT/fas/39754185,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754185.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,19,46.99112,-114.44539,39754185,-12740004.3117,5940625.8804
38791,283053,Broadview Pond,https://myfwp.mt.gov/fishMT/fas/39753806,Ramp (Concrete),Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753806.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,53,46.10451,-108.88334,39753806,-12120839.3625,5797114.4639
38792,283147,Buffalo Mirage,https://myfwp.mt.gov/fishMT/fas/39753830,Ramp (Gravel),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753830.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,16,45.61277,-108.84205,39753830,-12116243.2369,5718511.6631
38793,283208,Gritty Stone,https://myfwp.mt.gov/fishMT/fas/39753856,Hand Launch,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753856.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,14,45.99529,-108.16938,39753856,-12041361.6567,5779594.8349
38794,283829,Gartside Reservoir,https://myfwp.mt.gov/fishMT/fas/39754393,Hand Launch,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754393.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,159,47.58626,-104.27128,39754393,-11607427.3796,6038298.8952
38795,280828,Tarkio East,https://myfwp.mt.gov/fishMT/fas/39754211,No Boat Facilities,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754211.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,9,47.02075,-114.65328,39754211,-12763145.9559,5945462.5214
38796,281428,Henneberry,https://myfwp.mt.gov/fishMT/fas/39753418,Ramp (Gravel),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753418.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,642,45.05969,-112.81502,39753418,-12558511.6717,5630925.0264
38797,2034033,Pipe Organ,https://myfwp.mt.gov/fishMT/fas/39754491,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754491.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,6,45.06561,-112.80037,39754491,-12556881.6491,5631856.6318
38798,282682,Carroll Trail,https://myfwp.mt.gov/fishMT/fas/39753740,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753740.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,66,47.08176,-109.44549,39753740,-12183417.6343,5955430.3648
38799,280627,Bass Creek,https://myfwp.mt.gov/fishMT/fas/39754129,No Boat Facilities,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754129.pdf,,14,46.56674,-114.10113,39754129,-12701680.7674,5871640.2386
